,国家,确诊,死亡人数
0,美国,39668541,654696
1,印度,32737939,438210
2,巴西,20741815,579308
3,法国,6827146,114506
4,俄罗斯,6785465,178457
5,英国,6762904,132760
6,土耳其,6329519,55958
7,阿根廷,5173531,111383
8,伊朗,4926964,106482
9,哥伦比亚,4905258,124811
10,西班牙,4831809,84000
11,意大利,4530246,129093
12,印度尼西亚,4073831,131923
13,德国,3940212,92146
14,墨西哥,3335700,258165
15,波兰,2888231,75340
16,南非,2764931,81595
17,乌克兰,2381553,56900
18,秘鲁,2149591,198263
19,荷兰,1971713,18342
20,菲律宾,1954023,33109
21,伊拉克,1874435,20699
22,马来西亚,1706089,16087
23,捷克,1678862,30402
24,智利,1637829,36885
25,加拿大,1497283,26954
26,孟加拉,1493537,26015
27,日本本土,1460303,15969
28,比利时,1177909,25360
29,泰国,1174091,11143
30,巴基斯坦,1156281,25670
31,瑞典,1123413,14685
32,罗马尼亚,1096753,34528
33,以色列,1051609,6989
34,葡萄牙,1034947,17721
35,哈萨克斯坦,854842,12655
36,摩洛哥,853373,12437
37,匈牙利,811706,30057
38,约旦,795161,10383
39,瑞士,770765,10965
40,尼泊尔,759222,10714
41,塞尔维亚,757617,7266
42,阿联酋,716381,2038
43,奥地利,685956,10781
44,突尼斯,660587,23369
45,古巴,640438,5144
46,黎巴嫩,600451,8044
47,希腊,581315,13581
48,沙特阿拉伯,543318,8512
49,格鲁吉亚,543118,7251
50,厄瓜多尔,501140,32232
51,玻利维亚,490056,18411
52,白俄罗斯,479306,3757
53,危地马拉,465059,11858
54,巴拉圭,458334,15723
55,巴拿马,456666,7046
56,哥斯达黎加,455784,5431
57,保加利亚,451599,18731
58,越南,435265,10749
59,斯里兰卡,426169,8775
60,阿塞拜疆,417996,5553
61,科威特,409552,2417
62,斯洛伐克,394742,12548
63,缅甸,392300,15183
64,乌拉圭,384692,6029
65,克罗地亚,373191,8325
66,多米尼加,349859,4007
67,爱尔兰,349773,5092
68,丹麦,345421,2582
69,巴勒斯坦,337405,3672
70,洪都拉斯,335398,8832
71,委内瑞拉,333125,3998
72,埃塞俄比亚,306117,4644
73,利比亚,305793,4184
74,阿曼,302132,4057
75,立陶宛,297777,4539
76,埃及,287899,16721
77,巴林,272341,1388
78,摩尔多瓦,266988,6394
79,斯洛文尼亚,266514,4448
80,韩国,250051,2284
81,亚美尼亚,241336,4823
82,肯尼亚,234952,4710
83,卡塔尔,232366,602
84,波黑,212306,9785
85,蒙古,211080,931
86,赞比亚,206051,3596
87,阿尔及利亚,195162,5209
88,尼日利亚,191345,2454
89,吉尔吉斯斯坦,175437,2518
90,北马其顿,175330,5869
91,挪威,157040,814
92,乌兹别克斯坦,154844,1070
93,博茨瓦纳,153793,2213
94,阿富汗,152960,7101
95,莫桑比克,145863,1851
96,阿尔巴尼亚,144847,2492
97,拉脱维亚,142319,2573
98,爱沙尼亚,141344,1289
99,芬兰,126093,1024
100,纳米比亚,124716,3372
101,津巴布韦,124437,4401
102,乌干达,119732,2991
103,加纳,117636,1008
104,黑山,114364,1716
105,塞浦路斯,113277,499
106,萨尔瓦多,94060,2898
107,柬埔寨,92208,1881
108,卢旺达,86613,1079
109,喀麦隆,83425,1350
110,马尔代夫,80791,226
111,卢森堡,75517,830
112,塞内加尔,72709,1749
113,新加坡,67171,55
114,牙买加,66663,1504
115,马拉维,60345,2161
116,科特迪瓦,55108,430
117,刚果（金）,54508,1057
118,澳大利亚,52612,1002
119,安哥拉,47168,1201
120,斐济,46027,479
121,特立尼达和多巴哥,44481,1278
122,马达加斯加,42862,955
123,斯威士兰,42828,1081
124,苏丹,37699,2831
125,马耳他,36089,440
126,佛得角,35227,309
127,毛里塔尼亚,33309,705
128,几内亚,29209,326
129,苏里南,28840,715
130,叙利亚,27654,2003
131,加蓬,25819,165
132,圭亚那,25323,611
133,多哥,21181,180
134,海地,20833,584
135,塞舌尔,19777,104
136,巴哈马,17940,354
137,巴布亚新几内亚,17838,192
138,索马里,17302,963
139,塔吉克斯坦,16778,124
140,东帝汶,16402,62
141,伯利兹,16012,356
142,安道尔,15025,130
143,马里,14857,539
144,老挝,14641,12
145,莱索托,14395,403
146,布基纳法索,13762,171
147,刚果（布）,13533,183
148,贝宁,13366,128
149,布隆迪,11994,38
150,吉布提,11741,157
151,南苏丹,11403,120
152,中非共和国,11270,99
153,尼加拉瓜,11167,199
154,冰岛,10658,33
155,冈比亚,9626,314
156,赤道几内亚,9326,124
157,毛里求斯,8667,27
158,圣卢西亚,8111,103
159,也门,7784,1461
160,厄立特里亚,6640,37
161,塞拉利昂,6363,121
162,尼日尔,5839,198
163,几内亚比绍,5766,117
164,利比里亚,5538,245
165,圣马力诺,5261,90
166,乍得,4991,174
167,巴巴多斯,4931,49
168,科摩罗,4062,147
169,新西兰,3520,26
170,列支敦士登公国,3263,59
171,摩纳哥,3183,33
172,不丹,2594,3
173,圣多美和普林西比民主共和国,2590,37
174,文莱,2462,7
175,圣文森特和格林纳丁斯,2331,12
176,安提瓜和巴布达,1651,43
177,多米尼克,1638,4
178,坦桑尼亚,1367,50
179,圣基茨和尼维斯,1053,3
180,钻石号邮轮,712,13
181,格林纳达,357,1
182,马提尼克岛,37,1
183,梵蒂冈,27,0
184,所罗门群岛,20,0
185,西撒哈拉,10,1
186,尚丹号,9,2
187,马绍尔群岛,4,0
188,瓦努阿图,4,1
189,萨摩亚,3,0
190,密克罗尼西亚,1,0
